merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
By Far;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;By Far Mini Rachel Circular Croco Embossed Leather Shoulder Bag in Optic White;-7%;Rp 10.739.720;None;Rp10.082.734
Bottega Veneta;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Bottega Veneta Large Zipped Clutch Bag in Black;-6%;Rp 38.595.869;None;Rp36.546.076
Fendi;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Fendi FF Monogram Travel Bag in Grey for UNISEX;-6%;Rp 24.561.007;None;Rp23.212.957
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga White Logo Cash Card Holder in Black/White for UNISEX;-7%;Rp 7.607.302;None;Rp7.106.937
MICHAEL KORS;None;None;Hamilton Legacy Medium Leather Messenger Bag;-50%;Rp 10.039.000;Rp 5.019.500;Rp 5.019.500
By Far;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;By Far Mini Rachel Circular Croco Embossed Leather Shoulder Bag in Matcha;-7%;Rp 10.739.720;None;Rp10.082.734
LONGCHAMP;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Longchamp Le Foulonné S Crossbody Bag in Candy;-7%;Rp 11.187.208;None;Rp10.507.848
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga Small Ville Day Shoulder Bag in Black,White;-6%;Rp 41.799.479;None;Rp39.589.505
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga small Ville AJ Day Shoulder Bag in NOIR/L ROSE SHOCKING;-6%;Rp 41.799.479;None;Rp39.589.505
By Far;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;By Far Mini Rachel Croco Embossed Leather Crossbody Bag in Nutella;-7%;Rp 10.739.720;None;Rp10.082.734
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga Hourglass Top Shoulder Bag in Black;-6%;Rp 65.292.617;None;Rp61.907.986
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Kristle Mini Satchel Bag;-30%;Rp 2.459.000;Rp 1.721.300;Rp 1.721.300
Guess;25% Cashback;Min. pembelian  Rp299.000.;Galeria Hobo Bag;-20%;Rp 2.398.800;Rp 1.919.040;Rp 1.919.040
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Two-tone Logo Embroidered Micro Pocket Tote Bag in Black;-6%;Rp 30.459.718;None;Rp28.816.732
Bottega Veneta;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Bottega Veneta Intrecciato Nappa Large Pouch Bag in Blue;-6%;Rp 31.273.333;None;Rp29.589.666
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga small Ville AJ Day Shoulder Bag in Black,Yellow;-6%;Rp 41.799.479;None;Rp39.589.505
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J RICO GRANDE ALL BLACK;-27%;Rp 2.230.000;None;Rp1.634.000
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Medium Vintage Check Waist Bag in Archive Beige for UNISEX;-6%;Rp 23.594.840;None;Rp22.295.098
MLB Korea;None;None;Monogram Mini Backpack NY Yankees - Black;-43%;Rp 4.125.000;Rp 2.376.000;Rp 2.376.000
Marc Jacobs;None;None;Double Take Mini Shoulder Bag Black;-32%;Rp 7.345.000;Rp 5.039.000;Rp 5.039.000
Coach;None;None;COACH蔻馳Swinger seri 20 pernis Presbyard membuka dan menutup ikonic jacquard Patchwork sarung tangan Underarm tas tas tas wanita kecil;-24%;Rp 11.968.000;Rp 9.114.493;Rp 9.114.493
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram Crossbody Sling Bag White;-30%;Rp 4.900.000;None;Rp3.473.000
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Medium Vintage Check Waist Bag in Archive Beige;-6%;Rp 25.883.133;None;Rp24.468.976
Burberry;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Burberry Mini Technical Cotton and Leather Note Bag Black/Tan;-36%;Rp 16.160.000;None;Rp10.450.000
Marc Jacobs;3% Cashback;Tanpa min. pembelian.;Marc Jacobs The Mini Traveler Tote Bag Blue Shadow;-37%;Rp 4.760.000;Rp 3.000.000;Rp 3.000.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Tech Wallet In Colorblock Signature Canvas LT Saddle;-43%;Rp 6.085.000;None;Rp3.522.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Hazel Bag Mini Luce Black;-34%;Rp 4.655.000;None;Rp3.108.500
MCM;None;None;Tracy Crossbody in Visetos;None;None;None;None
Find Kapoor;None;None;PINGO 20 MUSTARD;-19%;Rp 2.656.000;Rp 2.156.000;Rp 2.156.000
TORY BURCH;None;None;Tory Burch BRITTEN warna polos madam dengan satu bahu keluar dengan bahu bahu 145357-001;-39%;Rp 18.113.905;Rp 11.092.874;Rp 11.092.874
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;City Tote In Signature Canvas Light Khaki Chalk;-34%;Rp 8.730.000;None;Rp5.796.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Stella Bag - Luce Black;-25%;Rp 3.650.000;None;Rp2.770.000
Strathberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;CRESCENT WALLET GRAIN LEATHER MUSHROOM - BURGUNDY STITCH;-4%;Rp 3.608.000;None;Rp3.488.000
LONGCHAMP;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Longchamp Le Pliage Club Large LH Tote Bag Khaki Olive;-42%;Rp 6.149.000;None;Rp3.599.100
MICHAEL KORS;None;None;Michael Kors Jet Set Travel MD Dome Crossbody Bag 35F1GTVC6B Brown;-49%;Rp 10.736.000;Rp 5.580.000;Rp 5.580.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Pillow Tabby Shoulder Bag 26 Aqua;-27%;Rp 11.330.000;None;Rp8.351.000
Coach;None;None;COACH蔻馳 Zip Top Tote 30 warna sederhana kulit Tote tas tas belanja tas tangan tas bahu wanita tugu besar;-19%;Rp 9.045.000;Rp 7.381.055;Rp 7.381.055
LONGCHAMP;None;None;Longchamp Le Pliage Original M Long Handles Tote Bag in Candy;-2%;Rp 3.966.374;Rp 3.887.047;Rp 3.887.047
Bonia;None;None;Gelato Double-Flap Bag Light Pink;-50%;Rp 8.358.000;Rp 4.179.000;Rp 4.179.000
MICHAEL KORS;None;None;Parker Medium Leather Crossbody Bag;None;None;None;None
MLB;None;None;Classic Monogram Hobo Bag BOSTON REDSOX brown;-19%;Rp 2.267.500;Rp 1.846.000;Rp 1.846.000
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Fleming Matte Small Shoulder Bag Black;-36%;Rp 10.620.000;None;Rp6.900.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Eco Inner Bag Organizer Beige;-29%;Rp 740.000;None;Rp532.800
Coach;None;None;Coach Field 30 Signature Jacquard Tote Bag Stone Ivory;-29%;Rp 8.430.000;Rp 6.030.000;Rp 6.030.000
Marc Jacobs;None;None;Marc Jacobs The Groove Leather Mini Messenger Bag Black M0016932;-53%;Rp 18.810.000;Rp 8.887.500;Rp 8.887.500
MICHAEL KORS;None;None;Mirella Small Shopper Top Zip Crossbody Bag;-30%;Rp 10.089.000;Rp 7.062.300;Rp 7.062.300
Bonia;None;None;Monogram Hobo M;-20%;Rp 6.400.000;Rp 5.120.000;Rp 5.120.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Slim Trifold Wallet Powder Pink Wine Multi;-45%;Rp 5.620.000;None;Rp3.104.000
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Society Satchel Bag;-10%;Rp 2.833.650;Rp 2.550.285;Rp 2.550.285
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Quilted Wallet;-31%;Rp 1.610.599;Rp 1.127.419;Rp 1.127.419
LONGCHAMP;3% Cashback;Tanpa min. pembelian.;Longchamp Le Pliage Original Tote Bag Large Green Light;-29%;Rp 3.760.000;Rp 2.690.000;Rp 2.690.000
KWANI;None;None;Kwani Radiance Chain Bag - Medium Black;-10%;Rp 2.678.000;Rp 2.410.200;Rp 2.410.200
TORY BURCH;None;None;Tory Burch BLAKE terompet polos berwarna lady totes 85985-006;-39%;Rp 22.691.964;Rp 13.953.046;Rp 13.953.046
MICHAEL KORS;None;None;Ruby Large Logo Tote Bag;None;None;None;None
Kate Spade;None;None;Perry Leather Medium Satchel Black;-49%;Rp 8.820.000;Rp 4.514.000;Rp 4.514.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Corner Zip Wristlet In Signature Canvas Brown Black;-40%;Rp 2.200.000;None;Rp1.335.000
Gucci;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Gucci Horsebit 1955 Flower Shoulder Bag Brown Ghw;-29%;Rp 68.880.000;None;Rp49.050.000
Valentino Garavani;3% Cashback;Tanpa min. pembelian.;Valentino Garavani VLogo Trifold Wallet on Chain Black Ghw;-29%;Rp 13.840.000;Rp 9.900.000;Rp 9.900.000
Kate Spade;None;None;All Day Grapefruit Pop Large Tote Garden Rose;-14%;Rp 5.470.000;Rp 4.719.000;Rp 4.719.000
Marc Jacobs;None;None;Signet Canvas Tote Beige;-17%;Rp 5.620.000;Rp 4.674.000;Rp 4.674.000
Coach;None;None;Coach Ella Hobo Signature Brown Black;-29%;Rp 5.870.000;Rp 4.200.000;Rp 4.200.000
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Faara Crossbody Nylon;-43%;Rp 8.250.000;None;Rp4.750.000
MICHAEL KORS;None;None;Michael Kors Ginny Medium Logo Crossbody Bag Vanilla;-29%;Rp 4.670.000;Rp 3.340.000;Rp 3.340.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J RICO MINI EQ KHAKI;-32%;Rp 1.345.000;None;Rp926.000
Kate Spade;None;None;Disney X Kate Spade New York Minnie Mouse Crossbody Bag;-27%;Rp 7.545.000;Rp 5.509.000;Rp 5.509.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Klare Crossbody In Signature Canvas With Heart Cherry Print Light Khaki Multi;-37%;Rp 9.350.000;None;Rp5.920.000
Coach;None;None;COACH 蔻馳Lillie 32 klasik warna kulit kanvas kulit melintang satu bahu ke gaya wanita besar;-11%;Rp 10.299.000;Rp 9.197.396;Rp 9.197.396
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Kaily Pouch Black;-31%;Rp 970.000;None;Rp674.500
Braun Buffel;None;None;BRAUN BUFFEL SEINE MEDIUM TOP HANDLE BAG;None;None;None;None
Bonia;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Croissant Crossbody Bag Nero;-31%;Rp 9.350.000;None;Rp6.512.500
Kate Spade;None;None;Kate Spade Darcy Small Satchel wkr00438 Black;-53%;Rp 15.136.000;Rp 7.155.000;Rp 7.155.000
Coach;None;None;Coach Zip Top Tote In Signature Canvas 4455 Khaki Saddle;-19%;Rp 8.172.450;Rp 6.637.500;Rp 6.637.500
MICHAEL KORS;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Michael Kors Parker Medium Leather Shoulder Bag Royal Black;-40%;Rp 7.670.000;None;Rp4.640.000
MCM;None;None;Aren Shoulder Bag in Visetos;None;None;None;None
Coach;None;None;Coach Double Corner Zip Wristlet In Signature Canvas F87591 Brown Black;-51%;Rp 4.950.000;Rp 2.430.000;Rp 2.430.000
MLB;None;None;Big Classic MONOGRAM Jacquard New Bucket Bag NEW YORK YANKEES cream;-20%;Rp 3.730.000;Rp 3.016.000;Rp 3.016.000
TORY BURCH;None;None;Blake Tote Brilliant Red;-30%;Rp 7.670.000;Rp 5.404.000;Rp 5.404.000
MICHAEL KORS;None;None;Michael Kors Veronica Extra-Small Saffiano Leather Crossbody Bag Black 32S3G6VC0L;-60%;Rp 16.440.000;Rp 6.727.500;Rp 6.727.500
Kate Spade;None;None;Perry Leather Medium Satchel Tusk;-50%;Rp 8.820.000;Rp 4.434.000;Rp 4.434.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Double Zip Wallet In Blocked Signature Canvas Khaki Brown Multi;-41%;Rp 4.560.000;None;Rp2.707.000
Kate Spade;None;None;Weston Shoulder Bag Buttermilk Glaze;-50%;Rp 8.800.000;Rp 4.410.000;Rp 4.410.000
TORY BURCH;None;None;Tory Burch Geo Logo Allover Tote Bag Mini Black;-29%;Rp 6.920.000;Rp 4.950.000;Rp 4.950.000
Valentino Garavani;None;None;Valentino Garavani Small Vlogo Signature Canvas Handbag Black;-29%;Rp 24.370.000;Rp 17.420.000;Rp 17.420.000
Bonia;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Savannah Bucket Bag;-30%;Rp 11.800.000;None;Rp8.350.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Jamie Camera Bag With Heart Cherry Print Chalk Multi;-36%;Rp 7.720.000;None;Rp4.974.000
JW PEI;None;None;JW PEI FEI Bucket Bag - Brown;None;None;None;None
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Izzy Slg Large Zip Around;None;None;None;None
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Laurel Croc Mini Wallet;None;None;None;None
Louis Vuitton;None;None;LOUIS VUITTON lady simple small backpack;-24%;Rp 136.630.000;Rp 104.542.524;Rp 104.542.524
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent Classic Sac De Jour Supple Baby Grained Leather Loden Green Ghw;-29%;Rp 49.930.000;None;Rp35.500.000
Marc Jacobs;None;None;MARC JACOBS Groove Leather Business Card Case Black S101L01FA21;-57%;Rp 7.125.000;Rp 3.127.500;Rp 3.127.500
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Mini Flap Bag Ivory Lizard;-19%;Rp 1.568.000;None;Rp1.270.080
MICHAEL KORS;None;None;Chantal Small Pebbled Leather Messenger Bag;-50%;Rp 7.189.000;Rp 3.594.500;Rp 3.594.500
Braun Buffel;None;None;BRAUN BUFFEL RUE SMALL HOBO BAG;-10%;Rp 9.699.000;Rp 8.729.100;Rp 8.729.100
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;City Tote In Signature Canvas With Varsity Motif;-48%;Rp 9.350.000;None;Rp4.900.000
Marc Jacobs;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Marc Jacobs The Snapshot Camera Bag Black Ghw;-34%;Rp 6.640.000;None;Rp4.430.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Gabbi Bag Black;-24%;Rp 1.585.000;None;Rp1.212.525
MICHAEL KORS;None;None;Michael Kors Butterfly Crossbody Bag in Olive Green;-6%;Rp 10.678.699;Rp 10.144.764;Rp 10.144.764
MCM;None;None;Tracy Crossbody in Visetos;None;None;None;None
Kate Spade;None;None;Kate Spade Leila Medium Flap Shoulder Bag Cherrywood K6029;-50%;Rp 15.378.000;Rp 7.830.000;Rp 7.830.000
Marc Jacobs;None;None;Marc Jacobs The Mini Cushion Bag M0016227 Pink Rose;-32%;Rp 17.490.000;Rp 11.976.000;Rp 11.976.000
Prada;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Prada 1BZ811 Zaino New Vela Backpack Giallo/Yellow;-39%;Rp 23.999.000;None;Rp14.687.100
MICHAEL KORS;None;None;Marilyn Medium Color-Block Saffiano Leather Satchel;None;None;None;None
Coach;None;None;COACH蔻馳 Kota 33 old classic full preceded paper paper flapper Tote bag belanja tas tas bahu tunggal stud wanita tuba;-32%;Rp 12.995.000;Rp 8.888.393;Rp 8.888.393
MLB;None;None;Big Classic MONOGRAM Jacquard L-Hobo Bag NEW YORK YANKEES black;-20%;Rp 3.730.000;Rp 3.016.000;Rp 3.016.000
MCM;None;None;Zip Pouch in Color Splash Logo Leather;None;None;None;None
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Robinson Wallet on Chain Bistro Brown;-36%;Rp 6.170.000;None;Rp3.990.000
MICHAEL KORS;None;None;Parker Small Key Card Holder;-50%;Rp 2.809.000;Rp 1.404.500;Rp 1.404.500
Kate Spade;None;None;Kate Spade Dumpling Small Satchel Black K8135;-57%;Rp 18.000.000;Rp 7.852.500;Rp 7.852.500
MLB;None;None;Big Classic MONOGRAM Jacquard L-Hobo Bag Boston Red Sox Light Sand;-20%;Rp 3.730.000;Rp 3.016.000;Rp 3.016.000
Coach;None;None;Coach Dempsey File Bag In Signature Jacquard With Stripe And Coach Patch Khaki Saddle Multi CA195;-56%;Rp 19.625.000;Rp 8.730.000;Rp 8.730.000
Kate Spade;None;None;Smile Small Crossbody Morning Sky;-14%;Rp 3.930.000;Rp 3.411.000;Rp 3.411.000
MICHAEL KORS;None;None;Hamilton Legacy Micro Leather Belted Crossbody Bag;None;None;None;None
MICHAEL KORS;None;None;Jet Set Travel Medium Logo Trifold Wallet;-40%;Rp 5.809.000;Rp 3.485.400;Rp 3.485.400
LONGCHAMP;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Longchamp Box-Trot S Crossbody Bag Black;-39%;Rp 8.740.000;None;Rp5.400.000
TORY BURCH;3% Cashback;Tanpa min. pembelian.;Tory Burch Mercer Spazzolato Shoulder Bag Small White Shw;-29%;Rp 6.770.000;Rp 4.840.000;Rp 4.840.000
Kate Spade;None;None;Darcy Small Satchel Warm Taupe;-43%;Rp 7.895.000;Rp 4.579.000;Rp 4.579.000
Coach;None;None;Coach Teri Shoulder Bag In Signature Canvas Light Khaki Petunia CA548;-61%;Rp 22.450.000;Rp 8.977.500;Rp 8.977.500
MLB;None;None;MONOGRAM Tote Bag BOSTON REDSOX grey;-19%;Rp 3.530.000;Rp 2.860.000;Rp 2.860.000
MICHAEL KORS;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Michael Kors Greenwich Small Color-Block Logo Saffiano Leather Crossbody Bag Brown Acorn;-37%;Rp 6.170.000;None;Rp3.890.000
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram Tote Bag White;-29%;Rp 7.850.000;None;Rp5.587.500
Prada;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Prada Quilted Nappa Leather Chain Shoulder Bag Black;-29%;Rp 61.960.000;None;Rp44.110.000
Kate Spade;None;None;Parker Medium Satchel Black;-50%;Rp 8.800.000;Rp 4.410.000;Rp 4.410.000
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Kira Diamond Woven Flap Shoulder Bag Small New Ivory;-31%;Rp 11.880.000;None;Rp8.300.000
